COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
,,,,,,,Mayuri Verma,,,,,
,,,,,,,Sunita Kumawat,,,,,
1012,MATH F113,PROBABILITY ANDSTATISTICS,3,-,3,1,Sayan Ghosh,F102,M W F,8,13/03 - 9.30 - 11.00AM,10/05 AN
,,,,,,2,Sabyasachi Dey,F107,T Th,3,,
,,,,,,,Sabyasachi Dey,F107,F,10,,
,,,,,,3,Farida Parvez Barbhuiya,F108,M W F,8,,
,,,,,,4,NIRMAN GANGULY,F104,T Th,3,,
,,,,,,,Nirman Ganguly,F104,F,10,,
,,,,,,5,PTV Praveen Kumar,F106,M W F,8,,
,,,,,,6,DK Satpathi,F102,T Th,3,,
,,,,,,,DK Satpathi,F102,F,10,,
,,,,,,7,Manish Kumar,F107,M W F,8,,
,,Tutorial,,,,1,Sayan Ghosh,G202,Th,7,,
,,,,,,,Tathe Kartik Vilasrao,,,,,
,,,,,,2,Sabyasachi Dey,G203,Th,7,,
,,,,,,,Bhawna,,,,,
,,,,,,3,Farida Parvez Barbhuiya,G204,Th,7,,
,,,,,,,Subhendu Paul,,,,,
,,,,,,4,Nirman Ganguly,G205,Th,7,,
,,,,,,,Sneha Pradhan,,,,,
,,,,,,5,PTV Praveen Kumar,G206,Th,7,,
,,,,,,,Gaurav Narayanrao Gadbail,,,,,
,,,,,,6,DK Satpathi,G207,Th,7,,
,,,,,,,Dhrubajyoti Sarkar,,,,,
,,,,,,7,Manish Kumar,G208,Th,7,,
,,,,,,,Debasmita Mohanty,,,,,
,,,,,,8,B Mishra,G101,Th,7,,
,,,,,,,Sayantan Ghosh,,,,,
,,,,,,9,K Venkata Ratnam,G102,Th,7,,
,,,,,,,Ashwini S,,,,,
,,,,,,10,Jagan Mohan J,G201,Th,7,,
,,,,,,,Shravani rao,,,,,
,,,,,,11,Kishore Kumar,G104,Th,7,,
,,,,,,,Lakhan Valmik Jaybhaye,,,,,
,,,,,,12,Sumit Kumar V,G105,Th,7,,
,,,,,,,Animesh Singh,,,,,
,,,,,,13,Santanu Koley,G106,Th,7,,
,,,,,,,Suman Prabha Yadav,,,,,
,,,,,,14,Sajith P,G107,Th,7,,
,,,,,,,Komal Kumar,,,,,
,,,,,,,Md Imdadul Islam,,,,,
,,,,,,,Rabindranath chakrabortty,,,,,
,,,,,,,Sushil Pathak,,,,,
1123,MATH F213,DISCRETE MATHEMATICS,3,-,3,1,PK SAHOO,I111,M W F,3,12/03 - 4.00 - 5.30PM,09/05 AN
1340,MATH F231,NUMBER THEORY,3,-,3,1,ROHIT GUPTA,I111,M W F,7,12/03 - 9.30 - 11.00AM,08/05 FN
1465,MATH F241,MATHEMATICAL METHODS,3,-,3,1,K BHARGAV KUMAR,G108,T Th,4,14/03 - 4.00 - 5.30PM,14/05 AN
,,,,,,,K Bhargav Kumar,G108,Th,10,,
,,Tutorial,,,,,K Bhargav Kumar,G108,M,6,,
,,,,,,,Kailash Chand Swami,,,,,
,,,,,,,Purohit Nisarg Bharatbhi,,,,,
1466,MATH F242,OPERATIONS RESEARCH,3,-,3,1,SAJITH P,G108,M W F,2,11/03 - 2.00 - 3.30PM,07/05 FN
,,Tutorial,,,,,Sajith P,G108,Th,1,,
,,,,,,,Amya Ranjan Ray,,,,,
,,,,,,,Santanu Kumar Dash,,,,,
1467,MATH F243,GRAPHS AND NETWORKS,3,-,3,1,SABYASACHI DEY,G108,M W,9,15/03 - 9.30 - 11.00AM,16/05 FN
,,,,,,,Sabyasachi Dey,G108,F,6,,
,,Tutorial,,,,,Sabyasachi Dey,G108,T,9,,
,,,,,,,Anshid Aboobacker,,,,,
,,,,,,,Pankaj Patel,,,,,
1468,MATH F244,MEASURE & INTEGRATION,3,-,3,1,SHARAN GOPAL,G108,M W F,3,12/03 - 11.00 - 12.30PM,09/05 FN
,,Tutorial,,,,,Sharan Gopal,G108,T,1,,
,,,,,,,Debarati Mondal,,,,,
,,,,,,,Shayon Bhadra,,,,,
1662,MATH F266,STUDY PROJECT,-,-,3,1,K BHARGAV KUMAR,,,,,
