COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
,,,,,,,Shaik Gouse Ahammad,,,,,
,,,,,,4,Shine jude hamilton a,E111,F,6 7,,
,,,,,,,M Srinivas,,,,,
,,,,,,,Vemu Sahiti,,,,,
,,Tutorial,,,,1,Satish K Dubey,F201,Th,9,,
,,,,,,,Suhas shreekrishna,,,,,
,,,,,,2,Mrinal Ketan Jagirdar,F202,Th,9,,
,,,,,,,Suhas shreekrishna,,,,,
,,,,,,3,M Srinivas,F203,Th,9,,
,,,,,,,Kiran Somisetti,,,,,
,,,,,,4,KRC Murthy,F204,Th,9,,
,,,,,,,Kiran Somisetti,,,,,
2399,ME F221,MECHANISMS ANDMACHINES,3,-,3,1,YV DASESWARA RAO,F107,T Th,4,14/03 - 4.00 - 5.30PM,14/05 AN
,,,,,,,YV Daseswara Rao,F107,Th,10,,
,,,,,,2,Brajesh Kumar Panigrahi,F108,T Th,4,,
,,,,,,,Arshad Javed,,,,,
,,,,,,,Brajesh Kumar Panigrahi,F108,Th,10,,
,,,,,,,Arshad Javed,,,,,
,,Tutorial,,,,1,YV Daseswara Rao,D208 A,T,9,,
,,,,,,,George Yuvaraj,,,,,
,,,,,,2,Brajesh Kumar Panigrahi,D208 B,T,9,,
,,,,,,,George Yuvaraj,,,,,
,,,,,,3,Arshad Javed,D208 C,T,9,,
,,,,,,,Balija Upendra,,,,,
,,,,,,4,Piyush Chandra Verma,D208 C,T,9,,
,,,,,,,Balija Upendra,,,,,
1263,ME F241,MACHINE DESIGN &DRAWING,3,1,4,1,G R SABAREESH,F201,M W F,8,16/03 - 2.00 - 3.30PM,18/05 FN
1264,ME F242,IC ENGINES,2,-,2,1,KRC MURTHY,F202,M W F,9,15/03 - 9.30 - 11.00AM,16/05 FN
