COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
,,,,,,9,Ramya K,I012,Th,2 3,,
,,,,,,,Balasubramanian Malayappa,,,,,
,,,,,,,Gowtham Polumati,,,,,
,,,,,,10,Sree Rama Amrutha Lahari,I013,W,6 7,,
,,,,,,,Gowtham Polumati,,,,,
,,,,,,,Kurakula Anudeep,,,,,
,,,,,,11,Keerthi C J,I012,Th,6 7,,
,,,,,,,imran khan,,,,,
,,,,,,,Kandi Mounika,,,,,
,,,,,,12,Ramya K,I013,M,5 6,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,,Ritesh Kumar Singh,,,,,
,,,,,,13,Sree Rama Amrutha Lahari,I012,T,6 7,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,,Ritesh Kumar Singh,,,,,
,,,,,,14,Kurakula Anudeep,I013,T,6 7,,
,,,,,,,TO BE ANNOUNCED,,,,,
,,,,,,,Ch Suresh Kumar,,,,,
,,Tutorial,,,,1,Soumya J,I113,T,9,,
,,,,,,2,Soumya J,I113,Th,9,,
,,,,,,3,Sourav Nandi,I114,T,9,,
,,,,,,4,Sourav Nandi,I221,M,1,,
,,,,,,5,Subhradeep Pal,I111,T,9,,
,,,,,,6,Subhradeep Pal,I111,Th,9,,
,,,,,,7,Anakhi Hazarika,I112,T,9,,
,,,,,,8,Anakhi Hazarika,I112,Th,9,,
,,,,,,9,Anakhi Hazarika,I111,M,5,,
,,,,,,10,Ravikiran Yeleswarapu,I122,T,9,,
,,,,,,11,Ravikiran Yeleswarapu,I122,Th,9,,
,,,,,,12,Ravikiran Yeleswarapu,I122,W,5,,
1239,EEE F242,CONTROL SYSTEMS,3,-,3,1,HARISH VIJAY DIXIT,F105,T Th,4,14/03 - 4.00 - 5.30PM,14/05 AN
,,,,,,,Harish Vijay Dixit,F105,Th,10,,
,,,,,,2,Ankur Bhattacharjee,F104,T Th,4,,
,,,,,,,Ankur Bhattacharjee,F104,Th,10,,
,,Tutorial,,,,1,Harish Vijay Dixit,J107,M,1,,
,,,,,,2,Harish Vijay Dixit,I111,T,1,,
,,,,,,3,Ankur Bhattacharjee,J119,M,1,,
,,,,,,4,Ankur Bhattacharjee,I112,T,1,,
,,,,,,5,Shaik sultan,J120,M,1,,
,,,,,,6,Shaik sultan,I113,T,1,,
,,,,,,7,Annaram Sowjanya,J121,M,1,,
,,,,,,8,Annaram Sowjanya,I114,T,1,,
1240,EEE F243,SIGNALS & SYSTEMS,3,-,3,1,PRATYUSH CHAKRABORTY,F105,M W F,9,15/03 - 9.30 - 11.00AM,16/05 FN
,,,,,,2,Venkateswaran R,F104,M W F,9,,
,,Tutorial,,,,1,Pratyush Chakraborty,I122,F,1,,
,,,,,,2,Pratyush Chakraborty,I122,Th,1,,
,,,,,,3,Venkateswaran R,I210,T,1,,
,,,,,,4,Venkateswaran R,I210,Th,1,,
,,,,,,5,S K Chatterjee,I211,F,1,,
,,,,,,6,S K Chatterjee,I211,Th,1,,
,,,,,,7,Rajesh Kumar Tripathy,I212,T,1,,
,,,,,,8,Rajesh Kumar Tripathy,I212,Th,1,,
1241,EEE F244,MICROELECTRONICCIRCUITS,3,-,3,1,SYED ERSHAD AHMED,F105,M W F,3,12/03 - 11.00 - 12.30PM,09/05 FN
,,,,,,2,Niranjan Raj,F104,M W F,3,,
,,Tutorial,,,,1,Syed Ershad Ahmed,I210,T,9,,
,,,,,,2,Syed Ershad Ahmed,I210,Th,9,,
,,,,,,3,Parikshit Parshuram Sahatiy,I211,T,9,,
,,,,,,4,Parikshit Parshuram Sahatiy,I211,Th,9,,
,,,,,,5,Surya Shankar Dan,I212,T,9,,
,,,,,,6,Surya Shankar Dan,I212,Th,9,,
,,,,,,7,Niranjan Raj,I213,T,9,,
,,,,,,8,Niranjan Raj,I213,Th,9,,
